"Sets","variable","value","station_id"
"Training set","Arima RMSE","0.010891215507433","72"
"Test set","Arima RMSE","0.0471636911498168","72"
"Training set","Random Walk RMSE","0.0107792959897692","72"
"Test set","Random Walk RMSE","0.0472532199006935","72"
"Training set","Neural Networks RMSE","0.0109137048197268","72"
"Test set","Neural Networks RMSE","0.0471636911498168","72"
"Training set","Arima RMSE","0.0110709543263638","79"
"Test set","Arima RMSE","0.0297936994015205","79"
"Training set","Random Walk RMSE","0.0110585712960458","79"
"Test set","Random Walk RMSE","0.0216119118103558","79"
"Training set","Neural Networks RMSE","0.0110745370617996","79"
"Test set","Neural Networks RMSE","0.0297936994015205","79"
"Training set","Arima RMSE","0.00910106163870156","82"
"Test set","Arima RMSE","0.0373932648140997","82"
"Training set","Random Walk RMSE","0.00905717728229805","82"
"Test set","Random Walk RMSE","0.0399501954733851","82"
"Training set","Neural Networks RMSE","0.00910177641098511","82"
"Test set","Neural Networks RMSE","0.034479605046343","82"
"Training set","Arima RMSE","0.00446812287522999","83"
"Test set","Arima RMSE","0.00607074719926678","83"
"Training set","Random Walk RMSE","0.0129568693263301","83"
"Test set","Random Walk RMSE","0.284014746364211","83"
"Training set","Neural Networks RMSE","0.00450243431880077","83"
"Test set","Neural Networks RMSE","0.00607074719926678","83"
"Training set","Arima RMSE","0.0207755096299723","116"
"Test set","Arima RMSE","0.041496040609291","116"
"Training set","Random Walk RMSE","0.0150768137535469","116"
"Test set","Random Walk RMSE","0.107210379410418","116"
"Training set","Neural Networks RMSE","0.0210936242500249","116"
"Test set","Neural Networks RMSE","0.0449023095267135","116"
"Training set","Arima RMSE","0.0080983404239332","119"
"Test set","Arima RMSE","0.00679470762492529","119"
"Training set","Random Walk RMSE","0.0555473721664103","119"
"Test set","Random Walk RMSE","0.00680486360672834","119"
"Training set","Neural Networks RMSE","0.00810105427484686","119"
"Test set","Neural Networks RMSE","0.00679470762492529","119"
"Training set","Arima RMSE","0.00905067629905032","120"
"Test set","Arima RMSE","0.132104214715907","120"
"Training set","Random Walk RMSE","0.0127403827461063","120"
"Test set","Random Walk RMSE","0.304817004886294","120"
"Training set","Neural Networks RMSE","0.0090558842317327","120"
"Test set","Neural Networks RMSE","0.132104214715907","120"
"Training set","Arima RMSE","0.0199498600297546","127"
"Test set","Arima RMSE","0.112787959593884","127"
"Training set","Random Walk RMSE","0.0198226917418807","127"
"Test set","Random Walk RMSE","0.102689347563667","127"
"Training set","Neural Networks RMSE","0.0199510760831069","127"
"Test set","Neural Networks RMSE","0.112787959593852","127"
"Training set","Arima RMSE","0.0195052139009174","128"
"Test set","Arima RMSE","0.310996281621485","128"
"Training set","Random Walk RMSE","0.0194142579807888","128"
"Test set","Random Walk RMSE","0.299535348266793","128"
"Training set","Neural Networks RMSE","0.0195233543155042","128"
"Test set","Neural Networks RMSE","0.30977889366928","128"
